>A
M
937.0;-454.0	412.0;-454.0
277.0;-712.0	274.885;-686.29
274.885;-686.29	268.54;-664.36
268.54;-664.36	257.965;-646.21
257.965;-646.21	253.5;-641.0
253.5;-641.0	238.095;-628.25
238.095;-628.25	220.08;-620.0
220.08;-620.0	199.455;-616.25
199.455;-616.25	192.0;-616.0
192.0;-616.0	171.015;-618.3399999999999
171.015;-618.3399999999999	152.46;-625.36
152.46;-625.36	136.33499999999998;-637.06
136.33499999999998;-637.06	131.5;-642.0
131.5;-642.0	119.51499999999999;-659.31
119.51499999999999;-659.31	111.75999999999999;-680.04
111.75999999999999;-680.04	108.23499999999999;-704.1899999999999
108.23499999999999;-704.1899999999999	108.0;-713.0
108.0;-713.0	115.92;-763.3399999999999
115.92;-763.3399999999999	139.68;-811.1600000000001
139.68;-811.1600000000001	179.27999999999997;-856.46
179.27999999999997;-856.46	196.0;-871.0
196.0;-871.0	255.19;-907.7199999999999
255.19;-907.7199999999999	327.15999999999997;-931.48
327.15999999999997;-931.48	411.90999999999997;-942.28
411.90999999999997;-942.28	443.0;-943.0
443.0;-943.0	512.2399999999999;-939.3099999999998
512.2399999999999;-939.3099999999998	573.56;-928.24
573.56;-928.24	626.96;-909.79
626.96;-909.79	643.0;-902.0
643.0;-902.0	675.6099999999999;-880.25
675.6099999999999;-880.25	702.6400000000001;-852.2
702.6400000000001;-852.2	724.0899999999999;-817.8499999999999
724.0899999999999;-817.8499999999999	730.0;-805.0
730.0;-805.0	739.1799999999998;-771.0999999999999
739.1799999999998;-771.0999999999999	745.1199999999999;-721.0
745.1199999999999;-721.0	747.8199999999999;-654.7
747.8199999999999;-654.7	748.0;-629.0
748.0;-629.0	748.0;-318.0
748.0;-318.0	748.4499999999998;-248.535
748.4499999999998;-248.535	749.8;-197.33999999999997
749.8;-197.33999999999997	752.05;-164.41500000000002
752.05;-164.41500000000002	753.0;-157.5
753.0;-157.5	756.5849999999999;-141.55499999999998
756.5849999999999;-141.55499999999998	761.3399999999999;-129.12
761.3399999999999;-129.12	767.265;-120.19500000000001
767.265;-120.19500000000001	769.5;-118.0
769.5;-118.0	776.7149999999999;-112.89999999999999
776.7149999999999;-112.89999999999999	784.56;-109.6
784.56;-109.6	793.035;-108.1
793.035;-108.1	796.0;-108.0
796.0;-108.0	805.2399999999999;-108.63
805.2399999999999;-108.63	813.76;-110.52000000000001
813.76;-110.52000000000001	821.56;-113.66999999999999
821.56;-113.66999999999999	824.0;-115.0
824.0;-115.0	840.1099999999999;-127.02999999999999
840.1099999999999;-127.02999999999999	863.24;-147.51999999999998
863.24;-147.51999999999998	893.39;-176.47
893.39;-176.47	905.0;-188.0
905.0;-188.0	905.0;-132.0
905.0;-132.0	838.7;-55.49999999999999
838.7;-55.49999999999999	774.2;-6.000000000000004
774.2;-6.000000000000004	711.5;16.499999999999996
711.5;16.499999999999996	691.0;18.0
691.0;18.0	663.4;14.94
663.4;14.94	639.4;5.760000000000002
639.4;5.760000000000002	619.0;-9.539999999999996
619.0;-9.539999999999996	613.0;-16.0
613.0;-16.0	598.12;-40.72
598.12;-40.72	588.28;-74.08
588.28;-74.08	583.48;-116.07999999999998
583.48;-116.07999999999998	583.0;-132.0
583.0;-132.0	583.0;-132.0
Z
M
583.0;-197.0	583.0;-546.0
583.0;-546.0	502.03;-513.15
502.03;-513.15	440.32;-486.6
440.32;-486.6	397.87;-466.34999999999997
397.87;-466.34999999999997	388.0;-461.0
388.0;-461.0	344.65;-434.23999999999995
344.65;-434.23999999999995	309.4;-406.76
309.4;-406.76	282.25;-378.56
282.25;-378.56	275.0;-369.0
275.0;-369.0	257.65999999999997;-339.39
257.65999999999997;-339.39	246.44;-308.15999999999997
246.44;-308.15999999999997	241.33999999999997;-275.31
241.33999999999997;-275.31	241.0;-264.0
241.0;-264.0	244.87;-223.005
244.87;-223.005	256.48;-186.42000000000002
256.48;-186.42000000000002	275.83;-154.245
275.83;-154.245	284.0;-144.5
284.0;-144.5	310.97;-120.27499999999999
310.97;-120.27499999999999	340.28000000000003;-104.60000000000001
340.28000000000003;-104.60000000000001	371.93;-97.475
371.93;-97.475	383.0;-97.0
383.0;-97.0	432.91999999999996;-106.0
432.91999999999996;-106.0	491.48;-133.0
491.48;-133.0	558.68;-177.99999999999997
558.68;-177.99999999999997	583.0;-197.0
583.0;-197.0	583.0;-197.0
Z
>e
M
218.0;-571.0	226.48999999999998;-456.5199999999999
226.48999999999998;-456.5199999999999	253.16000000000003;-357.88
253.16000000000003;-357.88	298.01;-275.08
298.01;-275.08	317.0;-251.0
317.0;-251.0	380.15;-191.83999999999997
380.15;-191.83999999999997	449.6;-153.56
449.6;-153.56	525.3499999999999;-136.16
525.3499999999999;-136.16	552.0;-135.0
552.0;-135.0	603.8849999999999;-139.45499999999998
603.8849999999999;-139.45499999999998	651.54;-152.82
651.54;-152.82	694.9649999999999;-175.09499999999997
694.9649999999999;-175.09499999999997	708.5;-184.5
708.5;-184.5	746.4649999999999;-220.54500000000002
746.4649999999999;-220.54500000000002	780.56;-269.28
780.56;-269.28	810.785;-330.705
810.785;-330.705	820.0;-354.0
820.0;-354.0	851.0;-334.0
851.0;-334.0	831.1999999999999;-254.00499999999997
831.1999999999999;-254.00499999999997	797.0;-178.42
797.0;-178.42	748.4000000000001;-107.245
748.4000000000001;-107.245	729.0;-84.5
729.0;-84.5	663.8100000000001;-27.124999999999996
663.8100000000001;-27.124999999999996	589.44;9.999999999999996
589.44;9.999999999999996	505.89000000000004;26.875
505.89000000000004;26.875	476.0;28.0
476.0;28.0	381.27500000000003;16.434999999999995
381.27500000000003;16.434999999999995	295.1;-18.259999999999998
295.1;-18.259999999999998	217.47500000000002;-76.08499999999998
217.47500000000002;-76.08499999999998	193.5;-100.5
193.5;-100.5	133.575;-185.565
133.575;-185.565	94.8;-286.56
94.8;-286.56	77.175;-403.48499999999996
77.175;-403.48499999999996	76.0;-446.0
76.0;-446.0	86.845;-577.685
86.845;-577.685	119.38;-690.74
119.38;-690.74	173.60499999999996;-785.165
173.60499999999996;-785.165	196.5;-812.5
196.5;-812.5	274.3349999999999;-879.5649999999999
274.3349999999999;-879.5649999999999	363.24;-922.96
363.24;-922.96	463.215;-942.685
463.215;-942.685	499.0;-944.0
499.0;-944.0	586.4499999999999;-934.865
586.4499999999999;-934.865	664.0;-907.46
664.0;-907.46	731.65;-861.785
731.65;-861.785	752.0;-842.5
752.0;-842.5	802.4899999999999;-775.4349999999998
802.4899999999999;-775.4349999999998	835.16;-696.04
835.16;-696.04	850.01;-604.315
850.01;-604.315	851.0;-571.0
851.0;-571.0	218.0;-571.0
218.0;-571.0	218.0;-571.0
Z
M
218.0;-629.0	642.0;-629.0
642.0;-629.0	638.0099999999999;-677.1199999999999
638.0099999999999;-677.1199999999999	632.04;-715.8799999999999
632.04;-715.8799999999999	624.0899999999999;-745.28
624.0899999999999;-745.28	621.0;-753.0
621.0;-753.0	603.7949999999998;-784.44
603.7949999999998;-784.44	582.18;-811.56
582.18;-811.56	556.155;-834.3599999999999
556.155;-834.3599999999999	546.5;-841.0
546.5;-841.0	516.395;-857.3199999999999
516.395;-857.3199999999999	485.48;-867.88
485.48;-867.88	453.755;-872.6800000000001
453.755;-872.6800000000001	443.0;-873.0
443.0;-873.0	394.775;-867.1949999999998
394.775;-867.1949999999998	349.7;-849.78
349.7;-849.78	307.77500000000003;-820.755
307.77500000000003;-820.755	294.5;-808.5
294.5;-808.5	260.10499999999996;-765.255
260.10499999999996;-765.255	235.52000000000004;-712.9200000000001
235.52000000000004;-712.9200000000001	220.745;-651.495
220.745;-651.495	218.0;-629.0
218.0;-629.0	218.0;-629.0
Z
>i
M
297.0;-1422.0	321.075;-1419.345
321.075;-1419.345	342.9;-1411.3799999999999
342.9;-1411.3799999999999	362.475;-1398.105
